what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1338895338515
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1338895338516
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1338895338517
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1338895338517
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1338895338518
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1338895338518
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1338895338518
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1338895338519
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1338895338520
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1338895338520
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1338895338521
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1338895338521
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1338895338522
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1338895338522
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1338895338523
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1338895338523
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1338895338524
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1338895338525
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1338895338525
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1338895338526
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1338895338526
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1338895338527
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1338895338528
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1338895338528
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1338895338528
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1338895338529
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1338895338529
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1338895338530
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1338895338531
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338895338531
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1338895338532
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338895338532
os,sysinfo,,,"macosx",1338895338536
arch,sysinfo,,,"x86_64",1338895338536
ws,sysinfo,,,"cocoa",1338895338536
locale,sysinfo,,,"de_DE",1338895338536
processors,sysinfo,,,"4",1338895338536
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338895338536
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-10M3635",1338895338536
java.specification.name,sysinfo,,,"Java Platform API Specification",1338895338536
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338895338536
java.specification.version,sysinfo,,,"1.6",1338895338536
java.vendor,sysinfo,,,"Apple Inc.",1338895338536
java.version,sysinfo,,,"1.6.0_31",1338895338536
java.vm.info,sysinfo,,,"mixed mode",1338895338536
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1338895338536
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338895338536
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338895338536
java.vm.specification.version,sysinfo,,,"1.0",1338895338536
java.vm.vendor,sysinfo,,,"Apple Inc.",1338895338536
java.vm.version,sysinfo,,,"20.6-b01-415",1338895338536
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1338895340707
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1338895340766
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1338895340792
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1338895340836
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1338895340907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338895342217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338895343512
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1338895343536
